concept_id,source,en,de,tr,aliases_en,aliases_de,tree
RID5217,radlex,steatosis,Fettleber,,fatty liver,,A00.radlex
RID5219,radlex,lipomatous infiltration,Lipomatöse Infiltration,,lipomatosis,,A00.radlex
RID5221,radlex,xanthoma,Xanthom,,,,A00.radlex
RID5222,radlex,resorption,Resorption,,,,A00.radlex
RID5224,radlex,ossification of posterior longitudinal ligament,Ossifikation des posterioren Längsbandes,,OPLL,,A00.radlex
RID5226,radlex,heterotopic ossification,Heterotope Ossifikation,,,,A00.radlex
RID5227,radlex,sclerosis,Sklerose,,,,A00.radlex
RID5229,radlex,acrosclerosis,Akrosklerose,,,,A00.radlex
RID5230,radlex,disease spread,Erkrankungsausbreitung,,,,A00.radlex
RID5232,radlex,metastasis by lymphatic and interstitial infiltration,Metastasierung durch lymphatische und interstitielle Infiltration,,lymphangitic carcinomatosis,,A00.radlex
RID5234,radlex,direct extension,Direkte Ausdehnung,,,,A00.radlex
