concept_id,source,en,de,tr,aliases_en,aliases_de,tree
RID41952,radlex,intra-articular segment of tendon of long head of biceps brachii,intraartikuläres Segment der Sehne des Caput longum des Musculus biceps brachii,,intra-articular portion of tendon of long head of biceps brachii muscle|intra-articular segment of tendon of long head of biceps brachii muscle|intracapsular segment of tendon of long head of biceps brachii,,A00.radlex
RID41953,radlex,intra-articular segment of tendon of long head of right biceps brachii,intraartikuläres Segment der Sehne des Caput longum des rechten Musculus biceps brachii,,intra-articular segment of tendon of long head of right biceps brachii muscle|intracapsular segment of tendon of long head of right biceps brachii,,A00.radlex
RID41954,radlex,intra-articular segment of tendon of long head of left biceps brachii,intraartikuläres Segment der Sehne des Caput longum des linken Musculus biceps brachii,,intra-articular segment of tendon of long head of left biceps brachii muscle|intracapsular segment of tendon of long head of left biceps brachii,,A00.radlex
RID41955,radlex,extra-articular segment of tendon of long head of biceps brachii,extraartikuläres Segment der Sehne des Caput longum des Musculus biceps brachii,,bicipital segment of tendon of long head of biceps brachii|extra-articular portion of tendon of long head of biceps brachii muscle|extra-articular segment of tendon of long head of biceps brachii muscle,,A00.radlex
RID41956,radlex,extra-articular segment of tendon of long head of right biceps brachii,extraartikuläres Segment der Sehne des Caput longum des rechten Musculus biceps brachii,,bicipital segment of tendon of long head of right biceps brachii|extra-articular segment of tendon of long head of right biceps brachii muscle,,A00.radlex
RID41957,radlex,extra-articular segment of tendon of long head of left biceps brachii,extraartikuläres Segment der Sehne des Caput longum des linken Musculus biceps brachii,,bicipital segment of tendon of long head of left biceps brachii|extra-articular portion of tendon of long head of left biceps brachii muscle|extra-articular segment of tendon of long head of left biceps brachii muscle,,A00.radlex
RID41966,radlex,surface of head of humerus,Oberfläche des Humeruskopfs,,,,A00.radlex
RID41967,radlex,surface of head of right humerus,Oberfläche des rechten Humeruskopfs,,,,A00.radlex
RID41968,radlex,surface of head of left humerus,Oberfläche des linken Humeruskopfs,,,,A00.radlex
RID41969,radlex,surface of greater tubercle of humerus,Oberfläche des Tuberculum majus des Humerus,,surface of greater tuberosity of humerus,,A00.radlex
RID41970,radlex,surface of greater tubercle of right humerus,Oberfläche des Tuberculum majus des rechten Humerus,,surface of greater tuberosity of right humerus,,A00.radlex
RID41971,radlex,surface of greater tubercle of left humerus,Oberfläche des Tuberculum majus des linken Humerus,,surface of greater tuberosity of right humerus,,A00.radlex
RID41972,radlex,surface of lesser tubercle of humerus,Oberfläche des Tuberculum minus des Humerus,,surface of lesser tuberosity of humerus,,A00.radlex
RID41973,radlex,surface of lesser tubercle of right humerus,Oberfläche des Tuberculum minus des rechten Humerus,,surface of lesser tuberosity of right humerus,,A00.radlex
RID41974,radlex,surface of lesser tubercle of left humerus,Oberfläche des Tuberculum minus des linken Humerus,,surface of lesser tuberosity of left humerus,,A00.radlex
RID41975,radlex,surface of diaphysis of humerus,Oberfläche der Diaphyse des Humerus,,,,A00.radlex
RID41976,radlex,surface of diaphysis of right humerus,Oberfläche der Diaphyse des rechten Humerus,,,,A00.radlex
RID41977,radlex,surface of diaphysis of left humerus,Oberfläche der Diaphyse des linken Humerus,,,,A00.radlex
RID41978,radlex,surface of epiphysis of humerus,Oberfläche der Epiphyse des Humerus,,,,A00.radlex
RID41979,radlex,surface of proximal epiphysis of humerus,Oberfläche der proximalen Epiphyse des Humerus,,,,A00.radlex
RID41980,radlex,surface of proximal epiphysis of right humerus,Oberfläche der proximalen Epiphyse des rechten Humerus,,,,A00.radlex
RID41981,radlex,surface of proximal epiphysis of left humerus,Oberfläche der proximalen Epiphyse des linken Humerus,,,,A00.radlex
RID41982,radlex,surface of distal epiphysis of humerus,Oberfläche der distalen Epiphyse des Humerus,,,,A00.radlex
RID41983,radlex,surface of distal epiphysis of right humerus,Oberfläche der distalen Epiphyse des rechten Humerus,,,,A00.radlex
RID41984,radlex,surface of distal epiphysis of left humerus,Oberfläche der distalen Epiphyse des linken Humerus,,,,A00.radlex
RID41985,radlex,surface of anatomical neck of humerus,Oberfläche des collum anatomicum des Humerus,,,,A00.radlex
RID41986,radlex,surface of anatomical neck of right humerus,Oberfläche des collum anatomicum des rechten Humerus,,,,A00.radlex
RID41987,radlex,surface of anatomical neck of left humerus,Oberfläche des collum anatomicum des linken Humerus,,,,A00.radlex
RID41988,radlex,surface of surgical neck of humerus,Oberfläche des collum chirurgicum des Humerus,,,,A00.radlex
RID41989,radlex,surface of surgical neck of right humerus,Oberfläche des collum chirurgicum des rechten Humerus,,,,A00.radlex
RID41990,radlex,surface of surgical neck of left humerus,Oberfläche des collum chirurgicum des linken Humerus,,,,A00.radlex
RID41992,radlex,medial surface of surgical neck of humerus,mediale Oberfläche des collum chirurgicum des Humerus,,,,A00.radlex
RID41993,radlex,medial surface of surgical neck of right humerus,mediale Oberfläche des collum chirurgicum des rechten Humerus,,,,A00.radlex
RID41994,radlex,medial surface of surgical neck of left humerus,mediale Oberfläche des collum chirurgicum des linken Humerus,,,,A00.radlex
RID41995,radlex,lateral surface of surgical neck of humerus,laterale Oberfläche des collum chirurgicum des Humerus,,,,A00.radlex
RID41996,radlex,lateral surface of surgical neck of right humerus,laterale Oberfläche des collum chirurgicum des rechten Humerus,,,,A00.radlex
RID41997,radlex,lateral surface of surgical neck of left humerus,laterale Oberfläche des collum chirurgicum des linken Humerus,,,,A00.radlex
RID41998,radlex,anterior surface of surgical neck of humerus,anteriore Oberfläche des collum chirurgicum des Humerus,,,,A00.radlex
RID41999,radlex,anterior surface of surgical neck of right humerus,anteriore Oberfläche des collum chirurgicum des rechten Humerus,,,,A00.radlex
RID42000,radlex,anterior surface of surgical neck of left humerus,anteriore Oberfläche des collum chirurgicum des linken Humerus,,,,A00.radlex
RID42001,radlex,posterior surface of surgical neck of humerus,posteriore Oberfläche des collum chirurgicum des Humerus,,,,A00.radlex
RID42002,radlex,posterior surface of surgical neck of right humerus,posteriore Oberfläche des collum chirurgicum des rechten Humerus,,,,A00.radlex
RID42003,radlex,posterior surface of surgical neck of left humerus,posteriore Oberfläche des collum chirurgicum des linken Humerus,,,,A00.radlex
RID42005,radlex,clavicular part of deltoid,pars clavicularis Musculus deltoidei,,anterior deltoid|anterior part of deltoid,,A00.radlex
RID42006,radlex,clavicular part of right deltoid,Pars clavicularis des rechten Musculus deltoideus,,anterior part of right deltoid,,A00.radlex
RID42007,radlex,clavicular part of left deltoid,Pars clavicularis des linken Musculus deltoideus,,anterior part of left deltoid,,A00.radlex
RID42008,radlex,acromial part of deltoid,pars acromialis musculus deltoidei,,lateral deltoid|lateral part of deltoid,,A00.radlex
RID42009,radlex,acromial part of right deltoid,Pars acromialis des rechten Musculus deltoideus,,intermediate part of right deltoid,,A00.radlex
RID42010,radlex,acromial part of left deltoid,Pars acromialis des linken Musculus deltoideus,,intermediate part of left deltoid,,A00.radlex
RID42011,radlex,spinal part of deltoid,pars spinalis musculus deltoidei,,posterior deltoid|posterior part of deltoid,,A00.radlex
RID42012,radlex,spinal part of right deltoid,Pars spinalis des rechten Musculus deltoideus,,posterior part of right deltoid,,A00.radlex
RID42013,radlex,spinal part of left deltoid,Pars spinalis des linken Musculus deltoideus,,posterior part of left deltoid,,A00.radlex
RID4203,radlex,odontogenic myxoma,Odontogenes Myxom,,,,A00.radlex
RID42041,radlex,lateral region of diaphysis of clavicle,lateraler Bereich der Diaphyse der Clavicula,,lateral third of diaphysis of clavicle,,A00.radlex
RID42042,radlex,lateral region of diaphysis of right clavicle,lateraler Bereich der Diaphyse der rechten Clavicula,,,,A00.radlex
RID42043,radlex,lateral region of diaphysis of left clavicle,lateraler Bereich der Diaphyse der linken Clavicula,,,,A00.radlex
RID42050,radlex,area of origin of clavicular part of deltoid,Ursprung der Pars clavicularis des Musculus deltoideus,,area of origin of clavicular part of deltoid muscle,,A00.radlex
