concept_id,source,en,de,tr,aliases_en,aliases_de,tree
MESH:D040421|Q17517,wikidata-mesh,mobile phone,Mobiltelefon,cep telefonu,phone|cell|mobile telephone|mobile phones|hand phone|cellular telephone|cellular phone|cellular mobile|cellphones|cellphone|cell phone|mobile,Handy|Funktelefon|Funker|GSM-Telefon|Mobiltelephon,L01.462.500.847.698.300
MESH:D046108|Q19166,wikidata-mesh,Palaeognathae,Urkiefervögel,Koşucu kuşlar,paleognaths|Paleognathia|Paleognathae|palaeognaths,Paleognathae,B01.050.150.900.248.600
MESH:D065133|Q174273,wikidata-mesh,Ephemeroptera,Eintagsfliegen,Mayıs sineği,the Mayflies|mayflies,Archipterygota|Ephemeroptera|Ephemoptera,B01.050.500.131.617.720.750.500
MESH:D010614|Q174778,wikidata-mesh,pharynx,Pharynx,yutak,pharynges,Rachen|Schlund|Rachenraum|obere Atemwege|Schlundkopf,A03.556.750|A04.623|A14.724
MESH:D012600|Q174857,wikidata-mesh,scoliosis,Skoliose,skolyoz,scolioses,,C05.116.900.800.875
MESH:D009903|Q174923,wikidata-mesh,optical illusion,optische Täuschung,Optik illüzyon,visual illusions|optical illusions|visual illusion,visuelle Illusion|visuelle Täuschung|Augentäuschung|optische Illusion,F02.463.593.446.659
MESH:D010570|Q174952,wikidata-mesh,pessary,Pessar,,,,E07.858.499
MESH:D066233|Q175002,wikidata-mesh,developmental psychology,Entwicklungspsychologie,gelişim psikolojisi,human development psychology,Frühkindliche Entwicklung,F04.096.628.270
MESH:D011843|Q175180,wikidata-mesh,radiculopathy,Radikulopathie,radikülopati,"Радикулопатия|Radiculopathy|nerve root disorder, NOS|nerve root disorder",,C10.668.829.820
MESH:D014132|Q175449,wikidata-mesh,trachea,Luftröhre,Soluk borusu,,Trachea|Atemröhre,A04.889
MESH:D065831|Q191808,wikidata-mesh,nun,Nonne,rahibe,sister|woman religious|female religious|female monk|religious sister,Schwester|Klosterfrau|Ordensschwester|Klosterschwester|Chorfrau|Sr.,M01.526.799.875
MESH:D014473|Q192105,wikidata-mesh,The unconscious,das Unbewusste,bilinç dışı,unconscious mind,"Unterbewusstsein|Unbewusst|Unbewußt|Unbewusstes|Unterbewußtsein|Unterbewusstsein, das Unbewusste",F01.752.747.930|F02.739.794.942
MESH:D003490|Q192120,wikidata-mesh,cyanosis,Zyanose,Siyanoz,,Blausucht|Cyanose|Zyanotisch,C23.888.248
